store_id,store_name,store_address,city,district,source,note
"twcoupon-c442bde1dd83","向勝門市","台中市西區東興路三段57號","台中市","","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-6bc8d4eb73e6","文津門市","台中市北區天津路二段138之10號之11號","台中市","","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-ef5172b4d89b","新學和門市","台中市南區學府路70號70-1號72號1樓","台中市","","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-b33b452397f6","連河門市","台中市北屯區河北路二段218之1號1樓","台中市","北屯區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-ee3d62a84599","金大安門市","台中市大安區中山南路241號1樓","台中市","大安區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-82000aaf9c2e","勤科大門市","台中市太平區坪林里中山路二段57號","台中市","太平區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-176e050ab666","靜宜門市","台中市沙鹿區鎮南路二段293號","台中市","沙鹿區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-5cbd2a3466be","潭北門市","台中市潭子區福潭路645.647.649號","台中市","潭子區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-405c9c2395f8","西屯重慶門市","台中市西屯區西屯路二段95之25號、95之26號1樓","台中市","西屯區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-b3f31a96f1f2","金德門市","台北市內湖區金龍路5號1F","台北市","內湖區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-c4baaa62bf57","吉仁門市","台北市松山區延吉街27-1號1樓","台北市","松山區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-56064dfd673a","夏林門市","台南市南區健康路二段114號1樓、地下室1樓","台南市","","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-e0b4955ccb1f","永發門市","屏東縣屏東市永安里復興路258號","屏東縣","屏東市","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-d1f7a1463573","億財富門市","屏東縣東港鎮新勝里光復路二段77號1樓","屏東縣","東港鎮","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-492eb6191543","家樂福門市","彰化縣彰化市茄苳路一段276號","彰化縣","彰化市","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-8c4766d3efad","崙北門市","彰化縣彰化市中央路232號234號","彰化縣","彰化市","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-13a93fc2e528","新大埔門市","彰化縣彰化市延平里大埔路540號542號","彰化縣","彰化市","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-70291b47d60b","大峽門市","新北市三峽區大學路13鄰147號1樓","新北市","三峽區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-4f2ce1b190fd","長泰門市","新北市三重區三和路二段125號127號1樓","新北市","三重區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-0d04d5c31f34","青潭門市","新北市新店區北宜路一段41-1號","新北市","新店區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-55cffefa3b0f","林宏門市","新北市新莊區成功街1號","新北市","新莊區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-7506387f62ab","過嶺門市","桃園市中壢區民族路五段451號453號1樓","桃園市","中壢區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-34259a2e4950","丰順門市","桃園市平鎮區中豐路一段281之1號1樓","桃園市","平鎮區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-0d903c977d97","新貴中門市","桃園市平鎮區新貴里中豐路一段98號1樓","桃園市","平鎮區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-a6ed5ce2f963","高安門市","桃園市平鎮區民族路三段95號","桃園市","平鎮區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-210e337eebde","國仲門市","桃園市桃園區中德里國際路一段538號","桃園市","桃園區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
"twcoupon-0318e7958f99","桃民門市","桃園市桃園區民族路79號1樓","桃園市","桃園區","twcoupon_unverified","無座標（unverified，未通過 EmapSDK）"
